source: ,"Table 32-10-0358-01  Area, production and farm value of potatoes",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,"Area, production and farm value of potatoes",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1912,Prince Edward Island,2016A000211,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47174,3.4,0.43,,,,2
1912,Prince Edward Island,2016A000211,"Total farm value, potatoes",Dollars,81,thousands,3,v47185,3.5,1753,,,,0
1912,Nova Scotia,2016A000212,"Seeded area, potatoes",Acres,28,units ,0,v47142,4.1,32000,,,,0
1912,Nova Scotia,2016A000212,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47153,4.2,177.1,,,,1
1912,Nova Scotia,2016A000212,"Production, potatoes",Hundredweight,156,thousands,3,v47164,4.3,5668,,,,0
1912,Nova Scotia,2016A000212,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47175,4.4,0.78,,,,2
1912,Nova Scotia,2016A000212,"Total farm value, potatoes",Dollars,81,thousands,3,v47186,4.5,4440,,,,0
1912,New Brunswick,2016A000213,"Seeded area, potatoes",Acres,28,units ,0,v47143,5.1,43000,,,,0
1912,New Brunswick,2016A000213,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47154,5.2,105.5,,,,1
1912,New Brunswick,2016A000213,"Production, potatoes",Hundredweight,156,thousands,3,v47165,5.3,4535,,,,0
1912,New Brunswick,2016A000213,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47176,5.4,0.7,,,,2
1912,New Brunswick,2016A000213,"Total farm value, potatoes",Dollars,81,thousands,3,v47187,5.5,3174,,,,0
1912,Quebec,2016A000224,"Seeded area, potatoes",Acres,28,units ,0,v47144,6.1,116000,,,,0
1912,Quebec,2016A000224,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47155,6.2,82.5,,,,1
1912,Quebec,2016A000224,"Production, potatoes",Hundredweight,156,thousands,3,v47166,6.3,9567,,,,0
1912,Quebec,2016A000224,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47177,6.4,0.58,,,,2
1912,Quebec,2016A000224,"Total farm value, potatoes",Dollars,81,thousands,3,v47188,6.5,5580,,,,0
1912,Ontario,2016A000235,"Seeded area, potatoes",Acres,28,units ,0,v47145,7.1,158000,,,,0
1912,Ontario,2016A000235,"Average yield, potatoes",Hundredweight per harvested acres,159,units ,0,v47156,7.2,86.2,,,,1
1912,Ontario,2016A000235,"Production, potatoes",Hundredweight,156,thousands,3,v47167,7.3,13614,,,,0
1912,Ontario,2016A000235,"Average farm price, potatoes",Dollars per hundredweight,110,units ,0,v47178,7.4,0.98,,,,2
