source:,"Table 32-10-0117-01  Production, disposition and farm value of poultry meat (x 1,000)",,,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Production and disposition,Commodity,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1941,Ontario,2016A000235,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60819,7.2.2.3,188,,,,0
1941,Ontario,2016A000235,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60581,7.3.1.1,12088,,,,0
1941,Ontario,2016A000235,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60612,7.3.1.2,26867,,,,0
1941,Ontario,2016A000235,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60643,7.3.1.3,9832,,,,0
1941,Ontario,2016A000235,Sold,Turkey,Birds,Birds,37,thousands,3,v60764,7.3.2.1,542,,,,0
1941,Ontario,2016A000235,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60792,7.3.2.2,2950,,,,0
1941,Ontario,2016A000235,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60820,7.3.2.3,1496,,,,0
1941,Manitoba,2016A000246,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60582,8.1.1.1,3660,,,,0
1941,Manitoba,2016A000246,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60613,8.1.1.2,8301,,,,0
1941,Manitoba,2016A000246,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60644,8.1.1.3,2324,,,,0
1941,Manitoba,2016A000246,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60765,8.1.2.1,552,,,,0
1941,Manitoba,2016A000246,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60793,8.1.2.2,3004,,,,0
1941,Manitoba,2016A000246,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60821,8.1.2.3,1073,,,,0
1941,Manitoba,2016A000246,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60583,8.2.1.1,1553,,,,0
1941,Manitoba,2016A000246,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60614,8.2.1.2,3522,,,,0
1941,Manitoba,2016A000246,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60645,8.2.1.3,986,,,,0
1941,Manitoba,2016A000246,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60766,8.2.2.1,60,,,,0
1941,Manitoba,2016A000246,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60794,8.2.2.2,327,,,,0
1941,Manitoba,2016A000246,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60822,8.2.2.3,117,,,,0
1941,Manitoba,2016A000246,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60584,8.3.1.1,1953,,,,0
1941,Manitoba,2016A000246,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60615,8.3.1.2,4429,,,,0
1941,Manitoba,2016A000246,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60646,8.3.1.3,1240,,,,0
1941,Manitoba,2016A000246,Sold,Turkey,Birds,Birds,37,thousands,3,v60767,8.3.2.1,481,,,,0
1941,Manitoba,2016A000246,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60795,8.3.2.2,2618,,,,0
1941,Manitoba,2016A000246,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60823,8.3.2.3,935,,,,0
1941,Saskatchewan,2016A000247,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60585,9.1.1.1,6184,,,,0
1941,Saskatchewan,2016A000247,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60616,9.1.1.2,14025,,,,0
1941,Saskatchewan,2016A000247,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60647,9.1.1.3,3587,,,,0
1941,Saskatchewan,2016A000247,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60768,9.1.2.1,908,,,,0
1941,Saskatchewan,2016A000247,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60796,9.1.2.2,4943,,,,0
1941,Saskatchewan,2016A000247,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60824,9.1.2.3,1721,,,,0
1941,Saskatchewan,2016A000247,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60586,9.2.1.1,3452,,,,0
1941,Saskatchewan,2016A000247,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60617,9.2.1.2,7829,,,,0
1941,Saskatchewan,2016A000247,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60648,9.2.1.3,2002,,,,0
1941,Saskatchewan,2016A000247,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60769,9.2.2.1,99,,,,0
1941,Saskatchewan,2016A000247,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60797,9.2.2.2,539,,,,0
1941,Saskatchewan,2016A000247,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60825,9.2.2.3,188,,,,0
1941,Saskatchewan,2016A000247,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60587,9.3.1.1,2581,,,,0
1941,Saskatchewan,2016A000247,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60618,9.3.1.2,5854,,,,0
