source:,"Table 32-10-0107-01  Aquaculture, production and value",,,,,,,,,** finfish production is reported as gutted head-on. Shellfish is reported as whole,,,,,
REF_DATE,GEO,DGUID,Finfish and shellfish,Production,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1991,Nova Scotia,2016A000212,Other shellfish,Dollars,Dollars,81,thousands,3,v110703,4.12.2,0,,,,0
1991,New Brunswick,2016A000213,Total aquaculture,Tonnes,Tonnes,287,units,0,v110737,5.1.1,9463,,,,0
1991,New Brunswick,2016A000213,Total aquaculture,Dollars,Dollars,81,thousands,3,v110748,5.1.2,82270,,,,0
1991,New Brunswick,2016A000213,Total finfish,Tonnes,Tonnes,287,units,0,v110583,5.2.1,9272,,,,0
1991,New Brunswick,2016A000213,Total finfish,Dollars,Dollars,81,thousands,3,v110594,5.2.2,81700,,,,0
1991,New Brunswick,2016A000213,Salmon,Tonnes,Tonnes,287,units,0,v110495,5.3.1,9000,,,,0
1991,New Brunswick,2016A000213,Salmon,Dollars,Dollars,81,thousands,3,v110506,5.3.2,80000,,,,0
1991,New Brunswick,2016A000213,Trout,Tonnes,Tonnes,287,units,0,v110517,5.4.1,272,,,,0
1991,New Brunswick,2016A000213,Trout,Dollars,Dollars,81,thousands,3,v110528,5.4.2,1700,,,,0
1991,New Brunswick,2016A000213,Steelhead,Tonnes,Tonnes,287,units,0,v110539,5.5.1,0,,,,0
1991,New Brunswick,2016A000213,Steelhead,Dollars,Dollars,81,thousands,3,v110550,5.5.2,0,,,,0
1991,New Brunswick,2016A000213,Other finfish,Tonnes,Tonnes,287,units,0,v110561,5.6.1,,x,,,0
1991,New Brunswick,2016A000213,Other finfish,Dollars,Dollars,81,thousands,3,v110572,5.6.2,,x,,,0
1991,New Brunswick,2016A000213,Total shellfish,Tonnes,Tonnes,287,units,0,v110715,5.7.1,191,,,,0
1991,New Brunswick,2016A000213,Total shellfish,Dollars,Dollars,81,thousands,3,v110726,5.7.2,570,,,,0
1991,New Brunswick,2016A000213,Clams,Tonnes,Tonnes,287,units,0,v110605,5.8.1,0,,,,0
1991,New Brunswick,2016A000213,Clams,Dollars,Dollars,81,thousands,3,v110616,5.8.2,0,,,,0
1991,New Brunswick,2016A000213,Oysters,Tonnes,Tonnes,287,units,0,v110627,5.9.1,136,,,,0
1991,New Brunswick,2016A000213,Oysters,Dollars,Dollars,81,thousands,3,v110638,5.9.2,450,,,,0
1991,New Brunswick,2016A000213,Mussels,Tonnes,Tonnes,287,units,0,v110649,5.10.1,55,,,,0
1991,New Brunswick,2016A000213,Mussels,Dollars,Dollars,81,thousands,3,v110660,5.10.2,120,,,,0
1991,New Brunswick,2016A000213,Scallops,Tonnes,Tonnes,287,units,0,v110671,5.11.1,0,,,,0
1991,New Brunswick,2016A000213,Scallops,Dollars,Dollars,81,thousands,3,v110682,5.11.2,0,,,,0
1991,New Brunswick,2016A000213,Other shellfish,Tonnes,Tonnes,287,units,0,v110693,5.12.1,0,,,,0
1991,New Brunswick,2016A000213,Other shellfish,Dollars,Dollars,81,thousands,3,v110704,5.12.2,0,,,,0
1991,Quebec,2016A000224,Total aquaculture,Tonnes,Tonnes,287,units,0,v110738,6.1.1,1590,,,,0
1991,Quebec,2016A000224,Total aquaculture,Dollars,Dollars,81,thousands,3,v110749,6.1.2,9746,,,,0
1991,Quebec,2016A000224,Total finfish,Tonnes,Tonnes,287,units,0,v110584,6.2.1,1500,,,,0
1991,Quebec,2016A000224,Total finfish,Dollars,Dollars,81,thousands,3,v110595,6.2.2,9640,,,,0
1991,Quebec,2016A000224,Salmon,Tonnes,Tonnes,287,units,0,v110496,6.3.1,,x,,,0
1991,Quebec,2016A000224,Salmon,Dollars,Dollars,81,thousands,3,v110507,6.3.2,,x,,,0
1991,Quebec,2016A000224,Trout,Tonnes,Tonnes,287,units,0,v110518,6.4.1,,x,,,0
1991,Quebec,2016A000224,Trout,Dollars,Dollars,81,thousands,3,v110529,6.4.2,,x,,,0
1991,Quebec,2016A000224,Steelhead,Tonnes,Tonnes,287,units,0,v110540,6.5.1,0,,,,0
1991,Quebec,2016A000224,Steelhead,Dollars,Dollars,81,thousands,3,v110551,6.5.2,0,,,,0
