source,"Table 32-10-0110-01  Cash receipts from milk and cream sold off farms (x 1,000)",,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Dairy distribution,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Aug-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,718689,,,t,0
Aug-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,156407,,,,0
Sep-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,651844,,,t,0
Sep-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,155533,,,,0
Oct-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,567087,,,t,0
Oct-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161213,,,,0
Nov-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,429466,,,t,0
Nov-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,158592,,,,0
Dec-52,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,407184,,,t,0
Dec-52,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,165145,,,,0
Jan-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,383155,,,t,0
Jan-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,167766,,,,0
Feb-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,348640,,,t,0
Feb-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,154660,,,,0
Mar-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,440825,,,t,0
Mar-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,170825,,,,0
Apr-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,565339,,,t,0
Apr-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163834,,,,0
May-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,723932,,,t,0
May-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,164708,,,,0
Jun-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,857621,,,t,0
Jun-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,161650,,,,0
Jul-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,802135,,,t,0
Jul-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,162087,,,,0
Aug-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,737038,,,t,0
Aug-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163834,,,,0
Sep-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,650097,,,t,0
Sep-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,162524,,,,0
Oct-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,586310,,,t,0
Oct-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,173009,,,,0
Nov-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,449126,,,t,0
Nov-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,163398,,,,0
Dec-53,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,421165,,,t,0
Dec-53,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,170388,,,,0
Jan-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,384029,,,t,0
Jan-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,169077,,,,0
Feb-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,362184,,,t,0
Feb-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,159902,,,,0
Mar-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,470097,,,t,0
Mar-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,181310,,,,0
Apr-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,579320,,,t,0
Apr-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,169951,,,,0
May-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,729611,,,t,0
May-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,170825,,,,0
Jun-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,872912,,,t,0
Jun-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166019,,,,0
Jul-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,837524,,,t,0
Jul-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,168640,,,,0
Aug-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,769805,,,t,0
Aug-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166456,,,,0
Sep-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,688980,,,t,0
Sep-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166019,,,,0
Oct-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,584563,,,t,0
Oct-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,174757,,,,0
Nov-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,467475,,,t,0
Nov-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,173446,,,,0
Dec-54,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,423786,,,t,0
Dec-54,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,179126,,,,0
Jan-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,391456,,,t,0
Jan-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,174320,,,,0
Feb-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,364805,,,t,0
Feb-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,166456,,,,0
Mar-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,462233,,,t,0
Mar-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,187864,,,,0
Apr-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,584126,,,t,0
Apr-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,180436,,,,0
May-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,762815,,,t,0
May-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,176941,,,,0
Jun-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,892572,,,t,0
Jun-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,174757,,,,0
Jul-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,797766,,,t,0
Jul-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,173446,,,,0
Aug-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,785533,,,t,0
Aug-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,181747,,,,0
Sep-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,739223,,,t,0
Sep-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,178689,,,,0
Oct-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,632184,,,t,0
Oct-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,183495,,,,0
Nov-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,487135,,,t,0
Nov-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,179563,,,,0
Dec-55,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,447378,,,t,0
Dec-55,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,189611,,,,0
Jan-56,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,410242,,,t,0
Jan-56,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,182184,,,,0
Feb-56,Canada,2016A000011124,"Milk production, total",Kilolitres,195,units ,0,v382152,1.1,391456,,,t,0
Feb-56,Canada,2016A000011124,Fluid purposes,Kilolitres,195,units ,0,v382156,1.5,178689,,,,0
